n = 385 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2487771 | dataRider[i].timeRAC = 2716679
n = 390 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2488127 | dataRider[i].timeRAC = 2716684
n = 395 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2491521 | dataRider[i].timeRAC = 2716689
n = 400 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2492977 | dataRider[i].timeRAC = 2716694
n = 405 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2493526 | dataRider[i].timeRAC = 2716699
n = 410 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2493782 | dataRider[i].timeRAC = 2716704
n = 415 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2494473 | dataRider[i].timeRAC = 2716709
n = 420 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2494724 | dataRider[i].timeRAC = 2716714
n = 425 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2495973 | dataRider[i].timeRAC = 2716719
n = 430 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2497233 | dataRider[i].timeRAC = 2716724
n = 435 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2498810 | dataRider[i].timeRAC = 2716729
n = 440 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2501411 | dataRider[i].timeRAC = 2716734
n = 445 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2502393 | dataRider[i].timeRAC = 2716739
n = 450 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2502765 | dataRider[i].timeRAC = 2716744
n = 455 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2502849 | dataRider[i].timeRAC = 2716749
n = 460 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2503363 | dataRider[i].timeRAC = 2716754
n = 465 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2504251 | dataRider[i].timeRAC = 2716759
n = 470 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2505695 | dataRider[i].timeRAC = 2716764
n = 475 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2506997 | dataRider[i].timeRAC = 2716769
n = 480 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2507019 | dataRider[i].timeRAC = 2716774
n = 485 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2508062 | dataRider[i].timeRAC = 2716779
n = 490 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2508403 | dataRider[i].timeRAC = 2716784
n = 495 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2509299 | dataRider[i].timeRAC = 2716789
n = 500 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2510761 | dataRider[i].timeRAC = 2716794
n = 505 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2511274 | dataRider[i].timeRAC = 2716799
n = 510 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2511608 | dataRider[i].timeRAC = 2716804
n = 515 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2512993 | dataRider[i].timeRAC = 2716809
n = 520 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2514340 | dataRider[i].timeRAC = 2716814
n = 525 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2515525 | dataRider[i].timeRAC = 2716819
n = 530 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2516932 | dataRider[i].timeRAC = 2716824
n = 535 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2518473 | dataRider[i].timeRAC = 2716829
n = 540 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2521085 | dataRider[i].timeRAC = 2716834
n = 545 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2523157 | dataRider[i].timeRAC = 2716839
n = 550 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2525109 | dataRider[i].timeRAC = 2716844
n = 555 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2525958 | dataRider[i].timeRAC = 2716849
n = 560 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2527972 | dataRider[i].timeRAC = 2716854
n = 565 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2529442 | dataRider[i].timeRAC = 2716859
n = 570 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2531394 | dataRider[i].timeRAC = 2716864
n = 575 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2538940 | dataRider[i].timeRAC = 2716869
n = 580 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2543315 | dataRider[i].timeRAC = 2716874
n = 585 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2550041 | dataRider[i].timeRAC = 2716879
n = 590 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2553658 | dataRider[i].timeRAC = 2716884
n = 595 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2555775 | dataRider[i].timeRAC = 2716889
n = 600 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2557661 | dataRider[i].timeRAC = 2716894
n = 605 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2564044 | dataRider[i].timeRAC = 2716899
n = 610 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2566342 | dataRider[i].timeRAC = 2716904
n = 615 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2568790 | dataRider[i].timeRAC = 2716909
